HDI Rank (2018),Country,1990,1995,2000,2005,2010,2011,2012,2013,2014,2015,2016,2017,2018
69,Albania,56,37,44,51,65,70,78,83,84,87,88,83,
82,Algeria,,2,3,6,84,79,,,,,,,
149,Angola,15,,,,85,73,,,,,40,,
74,Antigua and Barbuda,,,53,,76,75,80,,,86,,65,
48,Argentina,,,60,64,68,68,70,72,73,74,75,,
81,Armenia,48,32,26,32,37,52,55,50,50,52,52,52,
6,Australia,70,94,,86,79,96,108,109,114,125,169,166,
20,Austria,72,79,80,89,101,101,104,100,101,102,104,105,
87,Azerbaijan,21,19,19,25,26,27,25,26,23,24,23,36,
60,Bahamas,,,16,,,,,,,,32,,
45,Bahrain,,35,34,38,50,51,51,54,57,56,55,55,
135,Bangladesh,,,17,11,13,25,,32,,31,34,40,
56,Barbados,,,69,84,79,76,,,84,84,80,79,
50,Belarus,95,82,85,103,102,105,103,104,103,101,99,99,
17,Belgium,103,118,110,119,119,121,120,119,118,117,116,,
103,Belize,23,28,26,28,43,43,47,49,50,50,50,48,
163,Benin,3,3,6,6,17,19,19,20,21,24,25,,
134,Bhutan,,1,1,1,2,5,9,13,17,20,25,25,
114,Bolivia (Plurinational State of),31,38,49,52,48,55,60,63,68,71,74,75,
94,Botswana,,,,16,,,16,19,20,,,,
79,Brazil,,,,,,54,56,86,90,90,96,,
43,Brunei Darussalam,,52,47,59,67,68,70,70,71,70,70,69,
52,Bulgaria,69,60,70,85,82,82,82,83,84,84,81,,
182,Burkina Faso,1,1,,,3,3,4,4,4,4,3,4,
185,Burundi,,,1,2,11,8,9,9,11,14,14,14,
126,Cabo Verde,,,,60,64,68,66,66,66,70,72,71,
146,Cambodia,6,5,6,11,13,12,15,15,18,18,19,22,
150,Cameroon,12,10,13,19,26,27,30,,35,38,40,37,
13,Canada,62,64,,,,,,,,,,,
188,Central African Republic,,,,3,,5,,,,,,3,
187,Chad,,0,,,2,2,1,,,1,1,,
42,Chile,81,98,83,80,104,110,112,79,82,84,85,86,
85,China,21,25,44,,55,61,70,74,78,80,84,86,
79,Colombia,,28,42,46,54,55,,,,,,,
156,Comoros,,,2,,,,,23,21,,,20,
138,Congo,3,1,3,7,11,11,13,,,,,,
179,Congo (Democratic Republic of the),,,,,3,4,4,4,4,4,,,
68,Costa Rica,30,36,46,72,77,77,76,78,79,78,78,,
46,Croatia,28,36,52,46,62,63,63,62,61,63,63,,
72,Cuba,90,88,103,107,103,105,,93,99,102,102,101,
31,Cyprus,40,59,57,65,79,79,78,79,77,80,,,
26,Czechia,106,90,90,116,102,104,104,104,104,105,105,,
165,Côte d'Ivoire,1,2,2,,,4,5,6,6,7,8,8,
11,Denmark,96,81,91,95,100,100,102,97,96,96,96,,
171,Djibouti,1,1,1,,,5,4,,,5,5,7,8
98,Dominica,75,,71,98,105,102,95,99,85,87,84,,
89,Dominican Republic,,24,35,33,41,40,42,46,48,48,49,51,
85,Ecuador,43,48,64,76,49,53,56,63,71,71,72,,
116,Egypt,5,7,11,16,27,24,24,24,30,,30,29,
124,El Salvador,,30,44,57,63,63,63,64,66,66,66,65,
144,Equatorial Guinea,,,24,30,,54,52,,,43,,,
182,Eritrea,,4,6,15,16,18,17,17,16,14,,15,
30,Estonia,91,65,92,119,87,87,88,,,,,,
138,Eswatini (Kingdom of),13,,,,22,25,,,,,,,
173,Ethiopia,2,1,2,2,4,5,18,,25,30,,,
98,Fiji,13,12,11,,,,,,,,,,
12,Finland,34,38,48,60,68,69,70,81,80,80,83,,
26,France,108,113,108,110,106,106,105,105,105,105,105,,
115,Gabon,,,,,,35,,,,,,,
174,Gambia,,,,,29,,,32,39,39,39,39,
70,Georgia,,25,37,51,,,,,,,,,
4,Germany,,83,,,,,,107,108,107,108,,
142,Ghana,36,,62,60,,112,112,114,113,119,117,115,112
32,Greece,54,60,66,63,72,75,73,48,46,47,46,,
78,Grenada,,68,,87,99,,,94,91,86,89,92,
126,Guatemala,,33,49,57,69,68,64,44,45,46,45,49,
174,Guinea,,,,9,12,15,,,,,,,
178,Guinea-Bissau,,,4,,7,,,,,,,,
123,Guyana,,85,90,91,80,87,92,,,,,,
132,Honduras,12,14,21,31,41,42,41,40,41,40,41,43,
4,"Hong Kong, China (SAR)",85,85,,,,,114,112,107,107,108,107,
43,Hungary,85,79,80,87,85,88,88,88,86,81,82,,
6,Iceland,100,,85,99,96,96,96,96,98,97,95,,
129,India,3,4,,6,7,8,8,10,12,12,13,14,
111,Indonesia,17,19,24,31,41,42,49,53,56,,60,62,
65,Iran (Islamic Republic of),12,8,17,45,41,41,35,38,42,51,52,,
120,Iraq,,,5,,,,,,,,,,
3,Ireland,98,108,,,,,104,110,111,102,116,,
22,Israel,86,77,88,94,97,104,102,112,110,111,111,110,
29,Italy,90,95,97,103,100,100,100,100,99,99,98,,
96,Jamaica,76,77,83,92,,,,98,78,87,76,82,
19,Japan,46,48,,,,,,87,86,86,87,,
102,Jordan,19,23,29,,,,,,,,,,
50,Kazakhstan,81,38,20,33,,48,53,57,57,60,59,54,58
147,Kenya,34,36,42,47,,,60,,73,76,77,,
22,Korea (Republic of),55,86,,,,,,93,93,95,98,,
57,Kuwait,47,68,,,84,83,82,77,71,68,68,65,
122,Kyrgyzstan,34,9,10,13,19,20,24,26,25,28,31,39,
140,Lao People's Democratic Republic,7,7,8,9,20,22,25,28,32,35,40,43,
39,Latvia,54,37,64,83,86,89,90,92,93,94,95,96,
93,Lebanon,,83,80,73,85,85,83,85,95,78,86,85,
164,Lesotho,,,19,29,35,40,40,36,31,34,33,,
176,Liberia,,,74,,,,,,158,156,157,,
18,Liechtenstein,,,,,104,95,99,,106,104,103,,
34,Lithuania,62,34,57,65,79,79,80,82,85,86,87,,
21,Luxembourg,91,103,78,87,89,89,92,93,94,93,93,,
162,Madagascar,,4,3,7,9,,,12,14,18,29,38,
