HDI Rank (2018),Country,1990,1995,2000,2005,2010,2011,2012,2013,2014,2015,2016,2017,2018
170,Afghanistan,2,,,,,4,,,8,,,,10
69,Albania,8,10,16,23,45,50,61,68,70,66,61,57,
82,Algeria,10,10,,21,30,31,32,34,34,37,43,48,
149,Angola,1,,,2,,6,,9,,9,9,,
74,Antigua and Barbuda,,,,,15,13,22,,,,,,
48,Argentina,,,53,64,74,77,79,80,83,86,89,,
81,Armenia,23,19,36,40,53,53,46,46,47,47,51,52,
6,Australia,35,70,,,,,,,,120,122,114,
20,Austria,33,45,,,76,79,79,80,79,81,83,86,
87,Azerbaijan,24,18,,,19,20,20,21,23,25,26,27,
60,Bahamas,,15,,,,,,,,,,,
45,Bahrain,,17,,24,,44,43,40,41,43,47,46,
135,Bangladesh,4,,5,6,,13,13,,13,,17,18,
56,Barbados,17,,41,,70,65,,,,,,,
50,Belarus,49,41,55,67,79,86,91,93,90,88,87,87,
17,Belgium,38,53,58,61,68,70,71,72,73,75,76,,
103,Belize,,,,16,22,22,24,24,24,23,24,25,
163,Benin,2,2,4,6,14,13,14,16,16,14,13,,
134,Bhutan,,,,5,7,8,9,11,,,,,
75,Bosnia and Herzegovina,,,21,,,,,,,,,,
94,Botswana,,5,7,9,20,18,22,,26,28,24,23,
79,Brazil,,,,26,,43,45,47,50,51,50,,
43,Brunei Darussalam,,,13,15,15,17,22,24,32,31,31,33,
52,Bulgaria,26,36,44,45,58,59,61,64,68,70,71,,
182,Burkina Faso,1,1,,2,4,4,5,5,5,5,6,6,
185,Burundi,1,,1,3,3,3,4,5,5,,6,6,
126,Cabo Verde,,,2,8,18,21,21,23,23,22,22,22,
146,Cambodia,1,1,2,3,14,15,,,,13,,13,
150,Cameroon,3,,5,6,11,12,13,16,17,17,19,,
13,Canada,90,90,59,,62,64,64,66,66,65,67,,
188,Central African Republic,1,,2,,3,3,3,,,,,,
187,Chad,,,1,1,2,2,,,3,,,,
42,Chile,,28,36,49,69,74,79,83,86,88,90,91,
85,China,3,4,8,19,24,25,28,31,41,45,48,51,
79,Colombia,14,16,23,29,39,44,46,50,53,56,59,60,
156,Comoros,1,,1,,6,8,9,9,9,,,,
138,Congo,5,,5,,,9,10,9,,,,,
179,Congo (Democratic Republic of the),2,3,,,,8,8,7,,,7,,
68,Costa Rica,27,,,,,47,49,50,53,54,54,56,
46,Croatia,21,26,32,45,54,57,60,65,68,67,67,,
72,Cuba,21,14,22,62,95,81,63,49,41,36,34,40,
31,Cyprus,9,17,20,33,48,47,46,48,53,60,,,
26,Czechia,16,21,28,48,64,66,66,65,66,64,64,,
165,Côte d'Ivoire,,4,,,8,4,,8,9,9,9,,
11,Denmark,34,45,57,80,74,77,79,81,81,82,81,,
171,Djibouti,,,0,2,3,5,,,,,,,
89,Dominican Republic,,,,,,,49,,49,52,54,60,
85,Ecuador,20,18,,,,,40,40,,46,,,
116,Egypt,14,,,29,30,26,27,29,31,35,34,,
124,El Salvador,16,22,22,23,26,27,28,28,28,28,28,29,
144,Equatorial Guinea,,,2,,,,,,,,,,
182,Eritrea,,1,1,,3,,,,3,2,2,,
30,Estonia,25,25,55,68,68,70,72,74,73,72,71,,
138,Eswatini (Kingdom of),4,,4,5,,6,,5,,,,,
173,Ethiopia,1,1,1,3,7,8,8,,8,,,,
98,Fiji,,,,16,,,,,,,,,
12,Finland,44,67,82,92,93,95,93,91,89,88,87,,
26,France,37,50,51,54,55,56,58,60,62,63,64,,
115,Gabon,5,,,,,,,,,,,,
174,Gambia,,2,,,2,3,3,,,,,,
70,Georgia,,45,38,46,29,31,30,36,41,46,52,58,
4,Germany,,45,,,,,,60,64,66,68,,
142,Ghana,,,,6,,12,12,14,16,16,16,16,
32,Greece,24,36,51,85,102,107,110,112,117,,126,,
78,Grenada,,,,,,,,,,91,91,94,
126,Guatemala,,8,,,,,,20,18,22,,,
174,Guinea,1,1,,3,10,11,10,11,11,,,,
178,Guinea-Bissau,,,,2,,,,,,,,,
123,Guyana,5,9,,12,12,12,12,,,,,,
132,Honduras,9,10,13,,19,,19,20,20,21,,,
4,"Hong Kong, China (SAR)",,,,33,59,61,60,67,69,69,72,74,
43,Hungary,15,22,36,65,64,63,61,57,52,49,48,,
6,Iceland,26,35,46,70,79,81,82,80,81,76,74,,
129,India,6,6,10,11,18,23,24,24,26,27,27,28,
111,Indonesia,8,11,15,17,23,25,29,29,30,,,36,
