HDI Rank (2018),Country,1995,2000,2005,2010,2011,2012,2013,2014,2015,2016,2017,2018
170,Afghanistan,,0.416,0.617,0.69,0.699,0.704,0.707,0.71,0.712,0.714,0.719,0.723
69,Albania,0.934,0.933,0.94,0.96,0.957,0.972,0.967,0.965,0.97,0.966,0.965,0.971
82,Algeria,,0.783,0.807,0.835,0.838,0.841,0.844,0.841,0.858,0.859,0.864,0.865
149,Angola,,,,,,,,0.838,0.838,0.902,0.902,0.902
48,Argentina,0.984,0.982,0.989,0.99,0.989,0.989,0.991,0.989,0.99,0.991,0.991,0.988
81,Armenia,0.965,0.934,0.966,0.952,0.968,0.969,0.97,0.972,0.977,0.97,0.971,0.972
6,Australia,0.964,0.961,0.969,0.975,0.976,0.976,0.974,0.974,0.975,0.975,0.975,0.975
20,Austria,0.935,0.933,0.936,0.969,0.96,0.961,0.962,0.971,0.964,0.964,0.964,0.963
87,Azerbaijan,0.967,0.951,0.922,0.948,0.943,0.936,0.935,0.945,0.944,0.94,0.94,0.94
60,Bahamas,,1.002,,,,,,,,,,
45,Bahrain,0.931,0.939,0.967,0.972,0.971,0.942,0.944,0.942,0.938,0.932,0.937,0.937
135,Bangladesh,0.702,0.758,0.796,0.845,0.835,0.842,0.864,0.875,0.883,0.889,0.894,0.895
56,Barbados,0.971,0.989,0.993,1.009,1.009,1.008,1.01,1.011,1.011,1.01,1.011,1.01
50,Belarus,1.013,1.022,1.028,1.025,1.022,1.02,1.019,1.018,1.015,1.014,1.013,1.01
17,Belgium,0.967,0.972,0.967,0.97,0.97,0.97,0.971,0.97,0.973,0.972,0.972,0.972
103,Belize,,0.928,0.942,0.958,0.959,0.973,0.972,0.972,0.973,0.979,0.98,0.983
163,Benin,0.726,0.75,0.789,0.825,0.826,0.83,0.837,0.839,0.883,0.883,0.871,0.883
134,Bhutan,,,0.869,0.899,0.902,0.909,0.896,0.892,0.894,0.892,0.893,0.893
114,Bolivia (Plurinational State of),,,0.916,0.919,0.923,0.922,0.924,0.929,0.929,0.932,0.935,0.936
75,Bosnia and Herzegovina,,,0.922,0.927,0.937,0.911,0.909,0.911,0.916,0.921,0.923,0.924
94,Botswana,0.987,0.968,0.951,0.974,0.977,0.978,0.984,0.986,0.987,0.988,0.989,0.99
79,Brazil,,0.986,1.004,1.001,1.007,1.014,1.003,1.008,1.019,0.996,0.995,0.995
43,Brunei Darussalam,0.96,0.966,0.965,0.971,0.976,0.981,0.984,0.985,0.988,0.987,0.986,0.987
52,Bulgaria,0.991,0.973,0.975,0.992,0.991,0.991,0.991,0.992,0.992,0.993,0.992,0.993
182,Burkina Faso,,,0.787,0.829,0.835,0.844,0.853,0.86,0.865,0.869,0.871,0.875
185,Burundi,0.829,0.831,0.847,0.909,0.983,0.988,0.991,0.992,0.997,0.998,1.002,1.003
126,Cabo Verde,,0.942,0.969,0.977,0.974,0.985,0.985,0.985,0.982,0.982,0.982,0.984
146,Cambodia,0.833,0.889,0.874,0.897,0.891,0.906,0.907,0.91,0.914,0.917,0.919,0.919
150,Cameroon,,0.861,0.841,0.853,0.86,0.864,0.865,0.867,0.867,0.866,0.869,0.869
13,Canada,0.974,0.977,0.986,0.988,0.988,0.988,0.989,0.989,0.989,0.99,0.989,0.989
188,Central African Republic,0.734,0.736,0.743,0.756,0.763,0.77,0.765,0.771,0.78,0.789,0.792,0.795
187,Chad,,,0.728,0.759,0.768,0.771,0.772,0.773,0.777,0.774,0.775,0.774
42,Chile,0.925,0.932,0.943,0.959,0.96,0.962,0.959,0.96,0.962,0.961,0.962,0.962
85,China,0.913,0.914,0.928,0.945,0.948,0.952,0.957,0.959,0.958,0.959,0.961,0.961
79,Colombia,0.963,0.971,0.968,0.984,0.984,0.985,0.987,0.983,0.986,0.987,0.987,0.986
156,Comoros,,0.833,0.847,0.873,0.877,0.88,0.884,0.886,0.886,0.887,0.888,0.888
138,Congo,0.884,0.884,0.883,0.917,0.92,0.923,0.925,0.927,0.929,0.93,0.93,0.931
179,Congo (Democratic Republic of the),,,0.808,0.815,0.817,0.82,0.817,0.811,0.825,0.837,0.844,0.844
68,Costa Rica,,0.94,0.964,0.968,0.971,0.977,0.978,0.978,0.981,0.977,0.977,0.977
46,Croatia,0.934,0.964,0.983,0.989,0.984,0.984,0.987,0.987,0.986,0.986,0.988,0.989
72,Cuba,0.913,0.911,0.943,0.964,0.961,0.955,0.955,0.948,0.946,0.947,0.945,0.949
31,Cyprus,0.934,0.947,0.955,0.962,0.969,0.974,0.976,0.979,0.985,0.985,0.983,0.983
26,Czechia,0.972,0.97,0.973,0.975,0.978,0.98,0.984,0.982,0.984,0.984,0.984,0.983
165,Côte d'Ivoire,0.748,0.76,0.775,0.75,0.751,0.757,0.767,0.778,0.786,0.791,0.792,0.796
11,Denmark,0.962,0.987,0.988,0.991,0.982,0.981,0.978,0.974,0.98,0.981,0.981,0.98
89,Dominican Republic,,,,0.978,0.985,0.989,0.987,0.988,0.998,1.005,1.006,1.003
85,Ecuador,,,,0.958,0.958,0.961,0.964,0.967,0.976,0.98,0.98,0.98
116,Egypt,0.796,0.807,0.825,0.843,0.867,0.873,0.866,0.872,0.877,0.874,0.875,0.878
124,El Salvador,0.929,0.939,0.949,0.971,0.964,0.962,0.978,0.973,0.972,0.972,0.969,0.969
30,Estonia,1.015,1.032,1.039,1.028,1.025,1.023,1.02,1.018,1.018,1.017,1.016,1.016
138,Eswatini (Kingdom of),0.902,0.866,0.868,0.912,0.918,0.926,0.942,0.948,0.953,0.957,0.96,0.962
173,Ethiopia,,0.741,0.759,0.817,0.822,0.828,0.83,0.834,0.841,0.842,0.844,0.844
98,Fiji,,0.913,0.928,,,,,,,,,
12,Finland,1.002,0.997,1.001,1.005,1.002,1.005,0.988,0.99,0.991,0.99,0.99,0.99
26,France,0.981,0.983,0.983,0.988,0.989,0.99,0.989,0.987,0.987,0.986,0.986,0.984
115,Gabon,0.938,0.919,0.928,0.915,0.908,0.908,0.907,0.911,0.913,0.913,0.914,0.917
174,Gambia,0.758,0.8,0.84,0.806,0.804,0.81,0.814,0.815,0.818,0.819,0.826,0.832
70,Georgia,,0.945,0.941,0.964,0.967,0.969,0.975,0.978,0.98,0.978,0.979,0.979
4,Germany,0.943,0.943,0.956,0.962,0.963,0.963,0.966,0.966,0.968,0.969,0.968,0.968
142,Ghana,0.836,0.851,0.866,0.888,0.89,0.892,0.894,0.896,0.896,0.906,0.908,0.912
32,Greece,0.932,0.947,0.961,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.963,0.963
126,Guatemala,,0.893,0.904,0.912,0.905,0.923,0.923,0.941,0.947,0.946,0.945,0.943
174,Guinea,,0.723,0.766,0.795,0.791,0.787,0.793,0.799,0.8,0.802,0.805,0.806
123,Guyana,,0.93,0.943,0.965,0.967,0.97,0.972,0.973,0.973,0.973,0.974,0.973
169,Haiti,,,,0.856,0.864,0.869,0.875,0.881,0.88,0.888,0.889,0.89
132,Honduras,0.916,0.915,0.961,0.971,0.963,0.961,0.967,0.969,0.97,0.969,0.97,0.97
4,"Hong Kong, China (SAR)",,,,0.966,0.964,0.966,0.966,0.966,0.965,0.961,0.963,0.963
43,Hungary,0.986,0.983,0.996,0.993,0.992,0.99,0.991,0.989,0.986,0.984,0.984,0.984
6,Iceland,0.981,0.993,0.984,0.983,0.982,0.979,0.978,0.967,0.967,0.966,0.967,0.966
129,India,0.702,0.738,0.764,0.785,0.788,0.796,0.809,0.816,0.817,0.825,0.827,0.829
111,Indonesia,0.882,0.895,0.9,0.923,0.927,0.93,0.927,0.927,0.933,0.935,0.937,0.937
65,Iran (Islamic Republic of),0.75,0.796,0.846,0.871,0.868,0.864,0.859,0.858,0.863,0.873,0.873,0.874
120,Iraq,0.685,0.724,0.753,0.786,0.79,0.789,0.788,0.789,0.788,0.791,0.79,0.789
3,Ireland,0.962,0.978,0.979,0.975,0.975,0.977,0.979,0.981,0.977,0.975,0.975,0.975
22,Israel,0.961,0.975,0.977,0.969,0.969,0.971,0.972,0.972,0.973,0.972,0.972,0.972
29,Italy,0.945,0.952,0.961,0.97,0.971,0.972,0.968,0.968,0.966,0.967,0.967,0.967
96,Jamaica,0.959,0.962,0.974,0.985,0.986,0.985,0.986,0.985,0.985,0.986,0.986,0.986
19,Japan,0.953,0.958,0.963,0.959,0.962,0.964,0.967,0.971,0.971,0.974,0.975,0.976
102,Jordan,0.799,0.836,0.829,0.85,0.852,0.849,0.846,0.85,0.854,0.866,0.866,0.868
50,Kazakhstan,1.004,1.004,1.02,1.009,1.009,1.009,1.009,1.004,1.003,1,1,0.999
147,Kenya,0.895,0.894,0.891,0.918,0.92,0.922,0.925,0.926,0.928,0.93,0.932,0.933
22,Korea (Republic of),0.909,0.906,0.913,0.926,0.927,0.928,0.93,0.931,0.932,0.933,0.933,0.934
57,Kuwait,0.959,0.978,1.002,0.989,0.987,0.986,1,0.999,0.997,1,1,0.999
122,Kyrgyzstan,0.952,0.959,0.962,0.959,0.959,0.959,0.958,0.961,0.966,0.96,0.96,0.959
140,Lao People's Democratic Republic,0.832,0.852,0.874,0.89,0.895,0.902,0.908,0.915,0.919,0.923,0.923,0.929
39,Latvia,1.026,1.032,1.034,1.041,1.033,1.031,1.028,1.025,1.029,1.03,1.03,1.03
93,Lebanon,,,0.866,0.886,0.888,0.891,0.891,0.89,0.888,0.888,0.889,0.891
164,Lesotho,1.052,1.007,0.985,1.022,1.026,1.028,1.029,1.031,1.031,1.026,1.026,1.026
176,Liberia,0.634,0.775,0.791,0.861,0.87,0.873,0.88,0.881,0.881,0.881,0.894,0.899
110,Libya,,0.875,0.901,0.935,0.927,0.937,0.928,0.928,0.928,0.928,0.93,0.931
34,Lithuania,1.011,1.022,1.021,1.039,1.037,1.036,1.032,1.03,1.03,1.029,1.029,1.028
21,Luxembourg,,0.989,0.987,0.976,0.972,0.972,0.971,0.974,0.968,0.968,0.971,0.97
162,Madagascar,,0.939,0.942,0.941,0.942,0.943,0.942,0.943,0.943,0.944,0.945,0.946
172,Malawi,0.874,0.874,0.884,0.915,0.92,0.912,0.917,0.923,0.929,0.932,0.928,0.93
61,Malaysia,,0.926,0.934,0.956,0.961,0.964,0.97,0.972,0.974,0.972,0.973,0.972
104,Maldives,0.866,0.904,0.908,0.919,0.921,0.923,0.926,0.93,0.929,0.93,0.937,0.939
184,Mali,0.74,0.771,0.782,0.815,0.786,0.784,0.784,0.789,0.808,0.813,0.806,0.807
28,Malta,0.906,0.907,0.918,0.926,0.937,0.943,0.952,0.957,0.962,0.963,0.965,0.965
161,Mauritania,0.762,0.794,0.813,0.828,0.829,0.831,0.839,0.842,0.84,0.844,0.847,0.853
66,Mauritius,0.91,0.911,0.928,0.941,0.946,0.953,0.96,0.963,0.966,0.967,0.969,0.974
76,Mexico,0.906,0.924,0.939,0.952,0.953,0.952,0.955,0.955,0.956,0.957,0.957,0.957
107,Moldova (Republic of),0.979,0.987,0.994,1.004,1.005,1.005,1.008,1.009,1.011,1.01,1.009,1.007
92,Mongolia,0.971,1.009,1.016,1.021,1.017,1.025,1.015,1.033,1.03,1.027,1.028,1.031
52,Montenegro,,,0.945,0.955,0.957,0.956,0.957,0.965,0.966,0.964,0.964,0.966
121,Morocco,0.746,0.778,0.805,0.822,0.823,0.822,0.824,0.824,0.823,0.827,0.831,0.833
180,Mozambique,0.799,0.837,0.864,0.888,0.891,0.892,0.896,0.897,0.897,0.898,0.899,0.901
145,Myanmar,0.899,,,,,,,,,,0.956,0.953
130,Namibia,0.962,0.946,0.944,0.973,0.98,0.985,0.996,1.002,1.001,1.007,1.009,1.009
147,Nepal,0.752,0.768,0.832,0.886,0.889,0.881,0.886,0.889,0.892,0.894,0.895,0.909
10,Netherlands,0.948,0.957,0.962,0.965,0.968,0.967,0.966,0.965,0.966,0.967,0.967,0.967
14,New Zealand,0.97,0.984,0.97,0.963,0.963,0.961,0.962,0.961,0.961,0.963,0.963,0.963
126,Nicaragua,,0.907,0.938,0.94,0.942,0.945,0.947,1.007,1.007,1.011,1.013,1.013
189,Niger,0.691,0.71,0.733,,,0.204,0.216,0.268,0.27,0.279,0.289,0.298
158,Nigeria,,,0.836,0.868,0.869,0.87,0.872,0.871,0.871,0.87,0.868,0.868
82,North Macedonia,,,0.793,0.797,0.943,0.946,0.949,0.946,0.946,0.946,0.946,0.947
1,Norway,0.979,0.989,0.989,0.996,0.996,0.997,0.994,0.994,0.993,0.992,0.992,0.99
47,Oman,,0.868,0.877,0.905,0.913,0.926,0.938,0.943,0.949,0.945,0.944,0.943
152,Pakistan,0.6,0.618,0.67,0.719,0.719,0.73,0.732,0.734,0.741,0.745,0.745,0.747
119,"Palestine, State of",,,0.803,0.836,0.853,0.857,0.861,0.87,0.867,0.871,0.871,0.871
67,Panama,,0.978,0.984,0.987,0.988,0.995,0.994,1.001,1.004,1.004,1.005,1.005
155,Papua New Guinea,0.834,0.848,,,,,,,,,,
98,Paraguay,0.939,0.925,0.934,0.95,0.958,0.964,0.965,0.962,0.966,0.966,0.967,0.968
82,Peru,,0.915,0.931,0.932,0.937,0.942,0.945,0.948,0.944,0.95,0.95,0.951
106,Philippines,0.96,0.976,0.989,0.996,0.999,1,1.001,1.002,1.002,1.007,1.003,1.004
32,Poland,0.989,0.992,0.996,1.009,1.01,1.009,1.008,1.009,1.008,1.009,1.009,1.009
40,Portugal,0.971,0.983,0.994,0.994,0.989,0.989,0.985,0.985,0.984,0.984,0.984,0.984
41,Qatar,0.989,1.017,0.974,0.984,0.997,1.038,1.036,1.042,1.043,1.041,1.045,1.043
52,Romania,0.958,0.964,0.978,0.985,0.985,0.983,0.985,0.987,0.986,0.985,0.986,0.986
49,Russian Federation,,1.031,1.039,1.033,1.031,1.026,1.023,1.019,1.017,1.016,1.015,1.015
157,Rwanda,0.826,0.886,0.924,0.954,0.942,0.937,0.939,0.942,0.94,0.937,0.942,0.943
89,Saint Lucia,,0.963,0.979,0.973,0.974,0.971,0.971,0.971,0.972,0.973,0.976,0.975
137,Sao Tome and Principe,,0.848,0.86,0.88,0.876,0.892,0.898,0.895,0.9,0.902,0.904,0.9
36,Saudi Arabia,,0.835,0.88,0.875,0.881,0.884,0.88,0.878,0.878,0.879,0.879,0.879
166,Senegal,0.781,0.813,0.816,0.855,0.868,0.874,0.881,0.881,0.88,0.876,0.876,0.873
63,Serbia,,0.948,0.95,0.969,0.969,0.968,0.972,0.97,0.972,0.974,0.975,0.976
181,Sierra Leone,,0.777,0.814,0.855,0.862,0.869,0.876,0.878,0.877,0.878,0.882,0.882
9,Singapore,,0.938,0.95,0.973,0.98,0.98,0.981,0.982,0.982,0.984,0.987,0.988
36,Slovakia,0.987,0.986,0.984,0.991,0.987,0.987,0.992,0.99,0.992,0.993,0.994,0.992
24,Slovenia,0.987,0.994,1.007,1.007,1.012,1.006,0.997,1,1.002,1.004,1.005,1.003
113,South Africa,0.965,0.968,0.961,0.975,0.984,0.976,0.98,0.983,0.982,0.982,0.983,0.984
186,South Sudan,,,,0.834,0.836,0.837,0.839,0.84,0.841,0.839,0.839,0.839
25,Spain,0.962,0.967,0.974,0.979,0.979,0.979,0.979,0.977,0.978,0.981,0.981,0.981
71,Sri Lanka,0.916,0.928,0.927,0.926,0.929,0.93,0.936,0.938,0.94,0.936,0.937,0.938
168,Sudan,,,0.788,0.802,0.808,0.814,0.812,0.827,0.829,0.835,0.838,0.836
98,Suriname,,,0.971,0.973,0.974,0.974,0.976,0.976,0.974,0.972,0.971,0.972
8,Sweden,0.999,0.987,0.996,0.995,0.996,1,0.988,0.987,0.984,0.982,0.982,0.982
2,Switzerland,0.94,0.946,0.952,0.958,0.959,0.964,0.965,0.965,0.965,0.964,0.963,0.963
154,Syrian Arab Republic,0.797,0.813,0.803,0.834,0.84,0.834,0.82,0.809,0.802,0.799,0.8,0.795
125,Tajikistan,0.851,0.841,0.857,0.794,0.796,0.799,0.801,0.798,0.796,0.796,0.796,0.799
159,Tanzania (United Republic of),0.878,0.887,0.898,0.921,0.922,0.944,0.948,0.926,0.929,0.934,0.936,0.936
77,Thailand,0.976,0.977,0.971,0.996,1.002,1,1,0.998,0.998,0.997,0.996,0.995
131,Timor-Leste,,,0.824,0.884,0.885,0.877,0.849,0.848,0.858,0.9,0.9,0.899
167,Togo,0.744,0.779,0.794,0.786,0.787,0.79,0.792,0.799,0.797,0.797,0.798,0.818
105,Tonga,0.917,0.914,0.933,0.941,0.942,0.942,0.938,0.939,0.94,0.946,0.947,0.944
63,Trinidad and Tobago,0.935,0.948,0.969,0.984,0.998,0.998,0.999,0.999,0.99,0.998,1.002,1.002
91,Tunisia,0.811,0.844,0.868,0.888,0.886,0.889,0.892,0.895,0.897,0.899,0.899,0.899
59,Turkey,0.836,0.846,0.853,0.907,0.91,0.913,0.915,0.916,0.918,0.922,0.924,0.924
159,Uganda,0.863,0.882,0.879,0.855,0.856,0.858,0.856,0.857,0.861,0.863,0.864,0.863
88,Ukraine,1,0.987,1,1.009,1.002,1,1,0.997,0.995,0.995,0.995,0.995
35,United Arab Emirates,0.955,,,,0.956,0.955,0.956,0.958,0.961,0.963,0.965,0.965
15,United Kingdom,0.965,0.972,0.979,0.964,0.964,0.964,0.964,0.962,0.967,0.967,0.967,0.967
15,United States,0.994,0.987,0.991,0.996,0.996,0.994,0.992,0.993,0.993,0.994,0.994,0.991
57,Uruguay,1.005,1,1.004,1.006,1.01,1.011,1.009,1.01,1.011,1.016,1.016,1.016
108,Uzbekistan,,0.936,0.939,0.945,0.943,0.942,0.941,0.941,0.94,0.937,0.938,0.939
96,Venezuela (Bolivarian Republic of),0.973,0.985,0.991,1.024,1.022,1.023,1.023,1.022,1.021,1.017,1.014,1.013
118,Viet Nam,0.945,0.956,0.979,0.982,0.993,0.998,1.001,1.003,1.006,1.005,1.003,1.003
