HDI Rank (2018),Country,2010,2011,2012,2013,2014,2015,2016,2017,2018
170,Afghanistan,,,,30,30,30.4,28.2,28.2,
69,Albania,12.7,13.8,13.8,13.4,13.4,13.4,12.2,10,10.9
82,Algeria,,,,,,,,20.1,19.7
149,Angola,38.8,,43.6,43.6,36.6,36.6,32.4,32.3,31.7
48,Argentina,19,18.7,18.7,15.3,14.6,15.2,14,13.8,13.6
81,Armenia,10.9,10.7,10.8,10.2,10.1,9.2,8.6,9.8,9.7
6,Australia,7.7,7.7,7.7,7.5,7.9,8,8.3,8,7.9
20,Austria,7.3,7.2,6.5,7.1,7.6,8.5,7.4,7.8,7.5
87,Azerbaijan,13.4,11.1,11.1,11.5,13,13,10.1,9.9,9.3
60,Bahamas,14,14.4,,14,,,,,
135,Bangladesh,28.3,26.8,26.8,28.7,29,28.6,27.6,23.4,23.6
56,Barbados,,,,,,,,15.4,16
50,Belarus,9.3,8.3,8.3,7.6,7.1,6.4,6.5,6.5,6.3
17,Belgium,8.3,7.5,8,8.5,7.9,8.3,8.8,8.7,7.6
103,Belize,26.9,,,,21.7,21.8,21.3,21.3,21.6
163,Benin,34.3,35.3,35.3,34.2,37.1,37.1,36.4,36.3,36.9
134,Bhutan,,,19.8,20.2,28.9,28.4,27.4,26.4,26.2
114,Bolivia (Plurinational State of),36.7,33.3,33.4,29.4,28.4,28.7,26.4,25.7,24.1
75,Bosnia and Herzegovina,19.9,11.4,11.3,10.4,13.1,13.1,12.9,15.3,14.2
94,Botswana,,,,36.5,36.5,36.2,35.4,,
79,Brazil,26.6,26.9,26.5,26.3,25.6,24.9,23.6,23.2,23.8
52,Bulgaria,11.2,11.2,9.8,10.8,10.4,10.5,11.7,12.3,12.1
182,Burkina Faso,35.7,34.8,33.8,34.6,34.6,33.3,30.6,31.8,29.5
185,Burundi,36.3,,,32.6,31.5,30.6,29.7,32.8,29.6
126,Cabo Verde,,,,19.4,19.4,19.9,21.4,,
146,Cambodia,28.6,27.1,25.8,24.6,24.6,22.4,19.2,19.2,19.9
150,Cameroon,33.2,32.7,32.7,32.4,32.4,32.4,30.5,34.2,34.1
13,Canada,8.4,8.4,8.4,7.5,8.6,8.7,7.9,7.7,8.5
188,Central African Republic,41.3,40,40,39.9,43.1,43.1,41.8,41.8,41.3
187,Chad,37.7,38.8,38.8,36.8,39.6,39.6,37.9,37.9,37.4
42,Chile,18.1,18.1,18.1,18.5,18.2,17.1,15.6,14.9,19.8
85,China,22.8,22.1,22.1,,,,,14.2,15.6
79,Colombia,27.5,30.1,26.6,25.7,24.1,23.7,22.6,22.9,22.4
156,Comoros,42.8,,,,45.9,44.8,44.2,44.2,44.2
138,Congo,31.3,30.9,30.9,30.6,26.2,24.6,22.6,22.6,24.9
179,Congo (Democratic Republic of the),34.7,39.3,39.3,36.8,35.3,31.7,30.7,30.2,30.9
68,Costa Rica,19.9,19.7,20.5,19.1,19,18.2,17.8,17.3,18.8
46,Croatia,14.7,14.6,14.6,11.1,8.9,8.9,8.9,8.8,8.1
31,Cyprus,11.5,10,11.3,10.9,10.6,10.8,13.1,11.3,9.6
26,Czechia,5.9,4.9,5.3,5.5,5.4,5.3,5.4,5.2,4.5
165,Côte d'Ivoire,35.3,38.5,38.5,37.9,37.6,37.4,35.6,36.3,35
11,Denmark,6.4,5.9,6.2,6.8,7.1,7,7.7,7.4,6
171,Djibouti,36.4,35.1,35.2,33.7,33.7,33.7,33.2,35.2,
89,Dominican Republic,24.6,25.5,26.8,23.4,23.4,21.6,22,20.9,21.4
85,Ecuador,20.1,25,25,22.4,21.8,20.2,20,19.4,19.5
116,Egypt,26.4,23,23,22.8,22.8,28.2,28.3,28.3,28.8
124,El Salvador,27.2,26.2,26.2,26.2,26.2,22,22.3,21.9,21.6
30,Estonia,9.6,7.7,8.8,8.5,8.9,8.6,9.4,8.5,7.1
138,Eswatini (Kingdom of),35.7,35.2,35.2,33.1,33.1,33.1,29.4,29.4,29
173,Ethiopia,33.7,31.5,31.5,28,28,25.5,23.7,27.3,27.2
98,Fiji,,,,15.1,15.1,15.1,,,
12,Finland,7.4,5.5,5.9,5.5,5.5,5.7,8.4,5.5,5.2
26,France,9.2,9.1,9,8.9,8.6,9.3,12.1,10.1,9.1
115,Gabon,20.4,19.1,19.1,24,24,23.8,22.3,22.3,22.5
174,Gambia,38.8,,,,,,36.4,36.4,36.4
70,Georgia,16.6,13.7,14.8,14,13.2,12.2,11.5,12,11.6
4,Germany,7.8,6.8,6.8,7,6.7,7,8.3,7.8,8.1
142,Ghana,24.2,31.9,31.9,31.2,33.1,32.5,28.8,28.8,28.1
32,Greece,9.9,12.1,11.4,10.5,12.1,12.2,12.9,13.1,11.9
126,Guatemala,33,31.1,32.4,32,28.9,29.1,28.4,27.7,26.9
174,Guinea,38,38.6,38.6,37.8,35.2,33.6,32.2,32.2,32.2
178,Guinea-Bissau,41.8,41,41,39.4,39.4,39.1,39.4,39.4,37.4
123,Guyana,18.4,21.8,18.9,18,18,18.5,18.4,18.4,18.3
169,Haiti,40.5,39.8,39.8,38.9,38.2,39.2,38.4,38.4,40
132,Honduras,30.1,30.9,27.1,31.1,30.7,28.5,25.8,25.2,25
4,"Hong Kong, China (SAR)",,,,,,,,12.8,12.6
43,Hungary,8.5,7,7.3,7.3,7.1,7.6,7.7,7.7,7.8
6,Iceland,6.5,5.8,6.2,5.6,5.8,5.7,5.9,5.9,5.6
129,India,28.9,27.5,28.4,27.7,27.7,26.5,27.3,26.3,16.8
111,Indonesia,17.7,18.3,18.3,19.1,18.2,18.2,17.6,18.7,17.4
65,Iran (Islamic Republic of),,,,32.1,32.1,31.5,,11.2,11.3
120,Iraq,,,,21.2,21.4,22,21.1,20.2,19.4
3,Ireland,8.9,7.1,7.1,7.4,8.5,7.7,8.6,8.6,7.3
22,Israel,12.1,11.8,11.8,10.4,12.9,12.9,12.7,12.2,10.2
29,Italy,11.8,10.7,11.7,11.6,11.3,11.2,12.3,12,11.8
96,Jamaica,16.4,15.9,18.7,18.6,16.9,15.9,16.2,16.2,15.9
19,Japan,,,,12.2,12.2,12.2,12.1,,3.6
102,Jordan,19,18.9,18.9,18.5,16.4,16.4,16,16,14.6
50,Kazakhstan,13.4,11.8,13.5,11.8,11.8,10.1,7.9,7.9,7.1
147,Kenya,31.7,33.6,33.6,32.7,31.2,29.4,26.3,26.3,26.2
132,Kiribati,,,,30.1,30.1,32,31.4,,
22,Korea (Republic of),16.2,16.1,16.1,16.8,15.9,15.9,14,14,13.9
122,Kyrgyzstan,15,14.4,16.8,16.9,14.2,12.1,9.8,9.8,9.5
140,Lao People's Democratic Republic,24.5,22.6,24.5,24.1,25.3,26.9,25.9,25.8,24.8
39,Latvia,10.8,10.6,10.5,10.3,10.5,10.3,10.1,10.1,8.8
93,Lebanon,,22.5,22.5,20.3,20.3,20.4,,,
164,Lesotho,33.7,35.2,35.2,34.9,34.9,34.9,30.5,30.5,32
176,Liberia,36.2,34.3,34.3,32.8,34.1,32.9,31,31,31.8
34,Lithuania,11.2,9.6,10.8,10.4,10,10.2,10.3,11.3,10.5
21,Luxembourg,8.9,7.7,7.1,7.5,7.7,7.8,9.7,10.2,9.4
162,Madagascar,28.8,30.6,30.6,30.3,26.7,26.7,25.6,25.6,25.5
172,Malawi,31.6,31.4,31.1,31.6,32.6,31.1,30.4,30.4,28.6
104,Maldives,15.5,23.9,23.9,24.2,23.8,23.4,23,22.1,20.4
184,Mali,37.5,,,,34.4,32.7,31.5,32.8,30.4
28,Malta,,,8.1,8.2,8.5,8,8.1,8.2,7.9
161,Mauritania,34.5,33.6,34,34.6,32.9,31.9,32.7,32.7,31.8
66,Mauritius,,13.3,13.3,14.1,14.1,14.3,14,13.4,13.6
76,Mexico,20.6,22.8,22.8,22.3,21.7,22.4,21.2,20.7,21.7
135,Micronesia (Federated States of),35.3,34.9,,,,,,,
107,Moldova (Republic of),13.3,12.1,11.4,12,10.8,10.1,10.3,10.3,10.3
92,Mongolia,14.9,13.7,15.8,11.4,12.8,12.9,13.7,13.7,13.6
52,Montenegro,9.8,6.9,7.3,7.1,9.2,8.7,8.5,8.8,8.5
121,Morocco,27.2,28.5,28.5,28.5,28.5,28.3,,,
180,Mozambique,44,28.3,32,28.9,34.1,32.9,32.6,32.6,30.7
145,Myanmar,,,,,,,,18.9,23.2
130,Namibia,40.2,39.1,39.1,39.3,39.3,33.4,32.9,32.9,33.6
147,Nepal,31.3,33.5,33.5,27.8,25.9,25.8,24.8,24.6,24.9
10,Netherlands,8,6.9,6.8,6.6,6.5,6.8,7.2,7.8,6.7
