HDI Rank (2018),Country,2010,2011,2012,2013,2014,2015,2016,2017,2018
170,Afghanistan,,,,10.8,10.8,10.8,10.8,10.8,
69,Albania,14.4,18.3,18.3,18.3,18.3,18.3,18.3,12.2,13.2
82,Algeria,,,,,,,,11.4,11.4
149,Angola,36.4,50,50,50,28.9,28.9,28.9,28.9,28.9
48,Argentina,34.4,34.4,34.4,28.1,26.3,27.4,26.5,25.8,25.8
81,Armenia,10.8,10.8,13.9,14.3,13.9,13.9,13.9,17.4,17.4
6,Australia,16.6,16.6,16.6,16.6,17.7,17.7,17.7,17.7,17.3
20,Austria,15.1,15.1,12.7,13.8,15.5,17.5,16.5,17.7,15.9
87,Azerbaijan,4.4,4.5,4.5,4.5,8.9,8.9,8.9,8.9,8.9
60,Bahamas,24.5,24.5,,24.5,,,,,
135,Bangladesh,14.8,17.7,17.7,28.3,28.3,28.3,28.3,15.7,15.7
56,Barbados,16.1,,,,,,,33.6,33.6
50,Belarus,11.1,12.1,12.1,11.1,10.8,9.7,10.8,10.8,10.8
17,Belgium,15.1,11.7,11.9,12.3,11.6,12.7,13.6,13.7,11.4
103,Belize,48.5,,,37.9,37.9,37.9,37.9,37.9,37.9
163,Benin,19.2,23.6,23.6,23.6,29.4,29.4,29.4,30.3,32
134,Bhutan,,,23.1,25.1,19.6,19.6,19.6,19.6,20
114,Bolivia (Plurinational State of),54.2,47.2,47.4,36.1,36.1,36.4,33.5,31.8,29.7
75,Bosnia and Herzegovina,31.1,19.3,19.2,19.2,20.2,20.2,20.2,20.2,20.2
94,Botswana,,,,55.5,55.5,55.5,55.5,,
79,Brazil,37.6,40.7,39.7,39.7,38.7,37.8,38,36.7,36.7
52,Bulgaria,16.1,19.9,15.4,18.8,17.8,18.2,21.8,23.6,23.9
182,Burkina Faso,25.3,25.3,23.4,24.2,24.2,24.2,24.2,24.2,17.3
185,Burundi,24.9,,,13.2,14.1,14.1,14.1,20.9,20.9
126,Cabo Verde,,,,28,28,28,28,,
146,Cambodia,21.4,21.4,20.3,20.3,20.3,20.3,14.3,14.3,14.3
150,Cameroon,19.9,19.9,19.9,23.1,23.1,23.1,23.1,35.9,35.9
13,Canada,17.1,17.1,17.1,13.9,17.4,17.4,17.4,17.4,18.2
188,Central African Republic,28.1,28.1,28.1,28.1,49.2,49.2,49.2,49.2,49.2
187,Chad,20.8,21,21,21,30.7,30.7,28.4,28.4,28.4
42,Chile,34.1,34.1,34.1,36,36,35.5,32.6,31.1,32.7
85,China,29.5,29.5,29.5,29.5,29.5,29.5,29.5,23.3,27.4
79,Colombia,43.6,53.9,44.5,41.5,37.4,39.4,37.5,36.2,36.2
156,Comoros,54,,,,56,56,56,56,56
138,Congo,22,30.3,30.3,30.3,21.2,21.2,21.2,21.2,31
179,Congo (Democratic Republic of the),22.1,36.8,36.8,31.2,28.2,28.2,28.2,28.2,28.2
68,Costa Rica,33.7,33.7,37.9,34.3,34.3,34.1,33.7,32.4,32.2
46,Croatia,27.8,27.8,27.8,17.6,17.2,17.7,17.7,17.3,15.2
31,Cyprus,13.8,10.9,13.6,14.9,15,15.9,22.9,18.7,14.3
26,Czechia,12.2,9.6,10.7,11.3,11,11.1,11.3,10.8,9.2
165,Côte d'Ivoire,20.5,34.4,34.4,28.1,27.4,27.4,27.4,27.4,24.4
11,Denmark,11.3,10.2,11,13.3,14.4,14.3,15.3,14.4,11.4
171,Djibouti,21.3,21.3,21.7,21.7,21.7,21.7,21.7,27.7,27.7
89,Dominican Republic,32.6,33.8,37.6,29.3,30.3,28.1,29.4,28.1,28.1
85,Ecuador,23.4,38.8,38.8,32.1,30.9,30.1,31.9,30.5,30.5
116,Egypt,15.9,14.2,14.2,14.2,14.2,36.3,36.3,36.3,36.5
124,El Salvador,32.7,31.1,31.1,34,34,25.7,24.5,23.2,23.2
30,Estonia,17.7,14.5,17.7,17.4,18.6,18.7,21.4,18.9,15.5
138,Eswatini (Kingdom of),32.3,40.9,40.9,37.6,37.6,37.6,37.9,37.9,37.9
173,Ethiopia,20.8,20.8,20.8,9.5,9.5,9.5,9.5,13.4,13.4
98,Fiji,,,,22.6,22.6,22.6,22.6,,
12,Finland,13.4,10.6,11.3,10.8,10.8,11.6,20.4,11.7,10.4
26,France,13.9,13.9,13.3,14.2,13.9,16.3,24.1,18.1,14.4
115,Gabon,22.1,22.1,22.1,20.4,20.4,20.4,20.4,20.4,21.2
174,Gambia,33.3,,,26.9,26.9,26.9,31.5,31.5,31.5
70,Georgia,25.9,22.7,25.9,25.9,23.4,24.1,24.1,25.7,23.6
4,Germany,16.7,14.5,14.5,14.8,14.1,14.8,19.3,17.7,17.7
142,Ghana,25.4,27.2,27.2,27.2,31.7,31.7,25.3,25.3,25.3
32,Greece,19.9,17.1,18.1,16.2,20.6,21.1,21,22.8,19.5
126,Guatemala,42.5,38.5,42.5,42.5,33.1,34.1,34.1,32.2,35.4
174,Guinea,26.8,31.1,31.1,31.1,17.1,17.1,17.1,17.1,17.1
178,Guinea-Bissau,32.5,32.5,32.5,32.5,32.5,32.5,37.9,37.9,37.9
123,Guyana,20.3,32.1,24.4,24.4,24.4,24.4,25.1,25.1,25.1
169,Haiti,47.9,47.9,47.9,48.4,48.4,48.4,48.4,48.4,50.4
132,Honduras,39.7,43.4,35.8,46.8,48.6,41.5,36.3,34.9,34.9
4,"Hong Kong, China (SAR)",,,,,,,,25.6,25.6
43,Hungary,14.7,11.2,12.2,13.1,12.6,14.6,15.5,15.2,16.1
6,Iceland,13.4,11.8,13.2,11.6,12.2,11.7,12.8,12.8,11.7
129,India,14.7,14.7,15.8,16.1,16.1,16.1,21,18.8,18.8
111,Indonesia,14.8,17.7,17.7,17.7,17.3,17.3,17.3,24.9,20.1
65,Iran (Islamic Republic of),,,,46.6,46.6,46.6,46.6,19.7,19.7
120,Iraq,,,,16.1,16.1,16.1,16.1,16.1,12.7
3,Ireland,18.8,13.8,13.8,13.3,16.3,16.3,20.1,20.1,15
22,Israel,23.7,23.7,23.7,19.6,25,26.4,26.4,26.4,23.7
29,Italy,19.4,16.8,18.1,19.8,19.8,20.8,22.5,22.5,21.3
96,Jamaica,24.1,24.1,30.1,30.1,30.1,30.1,32,32,32
19,Japan,,,,13.5,13.5,13.5,13.5,6.3,6.3
102,Jordan,18.7,21.1,21.1,21.1,20.5,20.5,20.5,20.5,17.9
50,Kazakhstan,17.6,13.8,17.3,12.7,12.7,12.7,10.3,10.3,10.3
147,Kenya,28.8,36,36,36,36,33.1,33.1,33.1,33.1
132,Kiribati,,,,48.4,48.4,48.4,48.4,,
22,Korea (Republic of),18.4,18.4,18.4,18.4,18.4,18.4,20.2,20.2,20.2
122,Kyrgyzstan,12.2,12.2,24.1,24.1,17.7,17.7,12.2,12.2,12.2
140,Lao People's Democratic Republic,15.5,15.5,20.6,16.8,20.3,20.3,20.3,20.3,20.3
39,Latvia,20.5,21,20.9,19.8,20.5,20.3,20.7,20.7,18.5
93,Lebanon,,30,30,30,30,30,,,
164,Lesotho,39.5,47,47,47,47,47,41.1,41.1,41.1
176,Liberia,19,19,19,19,22.7,22.7,22.7,22.7,22.7
34,Lithuania,20.6,17.5,20.1,18.6,17.5,19.6,20.1,23.9,21.8
21,Luxembourg,15.7,13.5,11.6,13.1,13.9,15.1,17.7,17.7,16.6
162,Madagascar,19.3,36.1,36.1,36.1,20.4,20.4,20.4,20.4,20.4
