HDI Rank (2018),Country,2010,2011,2012,2013,2014,2015,2016,2017,2018
170,Afghanistan,58.8,50.9,50.9,34.3,34.3,35.7,28.4,28.4,28.3
69,Albania,10.9,11.2,11.2,9.9,9.9,9.9,9.2,9.2,7.2
82,Algeria,17.9,14.5,14.5,16.7,16.7,18.6,15.1,15.1,14.1
149,Angola,53.7,46.1,46.1,46.2,46.2,46.2,33.8,33.8,32
74,Antigua and Barbuda,,,,8,8,8.4,7.5,7.5,5.8
48,Argentina,10.4,9.7,9.7,9.3,9.3,10,9.5,9.5,8.6
81,Armenia,15.3,14.9,14.9,12.7,12.7,10.1,9,9,8.7
6,Australia,4.7,4.7,4.7,4.2,4.2,4.3,3.6,3.6,3.7
20,Austria,4.5,4.2,4.2,3.7,3.7,3.7,3,3,3.7
87,Azerbaijan,23.8,20.6,20.6,21.7,21.7,21.7,17,17,13.9
60,Bahamas,9.7,10.9,10.9,9.4,9.4,9.4,8.7,8.7,6.8
45,Bahrain,8.1,6.2,6.2,6.3,6.3,6.3,5.6,5.6,5.5
135,Bangladesh,25.3,23.2,23.2,20.1,20.1,20.1,17.3,17.3,17.3
56,Barbados,7.9,9.2,9.2,8.1,8.1,7.8,7,7,8.7
50,Belarus,8.8,7.4,7.4,6.8,6.8,5.8,4.9,4.9,4.4
17,Belgium,4.6,4.4,4.4,3.9,3.9,4,3.6,3.6,3.6
103,Belize,12.4,12.2,12.2,11.4,11.4,11.6,10.1,10.1,11.1
163,Benin,39.7,40.3,40.3,37,37,37,35,35,34.9
134,Bhutan,,24.1,24.1,22.2,22.2,20.7,17.8,17.8,17.1
114,Bolivia (Plurinational State of),27.2,25.1,25.1,24.5,24.5,29,25.2,25.2,22.5
75,Bosnia and Herzegovina,9.2,9.6,9.6,6.7,6.7,6.7,5.9,5.9,5.4
94,Botswana,25.9,24.3,24.3,21.9,21.9,20.9,18.6,18.6,19.4
79,Brazil,16.6,14.4,14.4,14.5,14.5,14.4,10.8,10.8,10.9
43,Brunei Darussalam,5.4,5.8,5.8,4.4,4.4,4.4,5.5,5.5,7.6
52,Bulgaria,9.4,7.8,7.8,7.9,7.9,7.8,6.7,6.7,6.1
182,Burkina Faso,44.5,41.7,41.7,41.1,41.1,37.1,32,32,32
185,Burundi,47.8,45.6,45.6,43.6,43.6,40.8,38.1,38.1,28.5
126,Cabo Verde,16.4,12.7,12.7,12,12,13.4,13.3,13.3,12.2
146,Cambodia,33.4,28.8,28.8,25.3,25.3,19.7,16,16,18.1
150,Cameroon,44.4,43,43,39.4,39.4,39.4,33.7,33.7,33.5
13,Canada,5,5,5,4.6,4.6,4.7,4.3,4.3,4.6
188,Central African Republic,49.8,46,46,45.7,45.7,45.7,41.7,41.7,40.1
187,Chad,54.5,52,52,46.1,46.1,46.2,42.4,42.4,40.9
42,Chile,6.9,6.6,6.6,5.9,5.9,7.6,6.1,6.1,6.3
85,China,15.6,13.5,13.5,9.8,9.8,8.9,7.9,7.9,7.9
79,Colombia,15.1,13.7,13.7,13.5,13.5,14.3,13.2,13.2,10.7
156,Comoros,27,32.6,32.6,34.2,34.2,30.9,28.9,28.9,28.9
138,Congo,41.9,37,37,36,36,31.1,25.1,25.1,22.8
179,Congo (Democratic Republic of the),52.9,50,50,49.9,49.9,39.1,36.1,36.1,36.1
68,Costa Rica,8.3,7.8,7.8,7.3,7.3,8.2,7.5,7.5,7.1
46,Croatia,6,5.5,5.5,5.2,5.2,4.5,4.1,4.1,4.3
72,Cuba,,5.4,5.4,5.1,5.1,5.5,5.3,5.3,5.1
31,Cyprus,5.1,4.1,4.1,3.7,3.7,4,3.6,3.6,3.6
26,Czechia,4.3,3.9,3.9,3.7,3.7,3.5,3.3,3.3,3
165,Côte d'Ivoire,40.5,37.8,37.8,40.2,40.2,39.7,34.2,34.2,33.3
11,Denmark,4.8,4.4,4.4,4,4,3.8,3.4,3.4,3.6
171,Djibouti,41,36.9,36.9,32.5,32.5,32.5,30.8,30.8,23.4
89,Dominican Republic,18.9,16,16,16.9,16.9,16.8,15.4,15.4,17
85,Ecuador,15.2,14.1,14.1,13.4,13.4,15.1,13.9,13.9,11.5
116,Egypt,19.8,13.9,13.9,13.4,13.4,13.4,11.6,11.6,11.6
124,El Salvador,16.5,15.2,15.2,14.5,14.5,13.7,12.2,12.2,12.5
144,Equatorial Guinea,48.2,45.4,45.4,44.4,44.4,38.4,35,35,34.6
182,Eritrea,,26.6,26.6,24.7,24.7,25.9,21.4,21.4,21.4
30,Estonia,7.9,6,6,5.6,5.6,4.8,4.3,4.3,3.6
138,Eswatini (Kingdom of),36.4,35,35,35,35,35,26.2,26.2,25.1
173,Ethiopia,42.1,35.4,35.4,30.2,30.2,30.3,24.9,24.9,24.9
98,Fiji,13.9,13,13,12.3,12.3,12.3,10.9,10.9,14.9
12,Finland,4,3.9,3.9,3.5,3.5,3.4,2.8,2.8,3
26,France,4.5,4.2,4.2,4,4,4,3.6,3.6,3.8
115,Gabon,31.9,27.8,27.8,28,28,27.6,23.1,23.1,22.8
174,Gambia,38.5,33.9,33.9,34.8,34.8,31.3,28.5,28.5,28.5
70,Georgia,19,15.1,15.1,12.9,12.9,10.3,8.1,8.1,7.9
4,Germany,4.4,4,4,3.7,3.7,3.7,3,3,3.8
142,Ghana,39.7,27.5,27.5,30.8,30.8,30.8,26.2,26.2,24.2
32,Greece,4,4.8,4.8,4,4,3.7,3.5,3.5,3.5
78,Grenada,,9.6,9.6,8.4,8.4,8.7,8,8,11.2
126,Guatemala,20.4,18.6,18.6,17.4,17.4,17,16,16,14.6
174,Guinea,44.5,42.7,42.7,40.3,40.3,35.4,31.2,31.2,31.3
178,Guinea-Bissau,52.5,50.1,50.1,45.3,45.3,44.6,38.4,38.4,32.3
123,Guyana,25.2,21.7,21.7,19.2,19.2,20.7,19.5,19.5,19
169,Haiti,32.9,30.9,30.9,27.9,27.9,30.9,28.6,28.6,32.2
132,Honduras,19.7,17.4,17.4,17,17,19.6,18.1,18.1,13.3
4,"Hong Kong, China (SAR)",4.1,2.9,2.9,2.8,2.8,2.8,2.5,2.5,2.5
43,Hungary,6.6,5.7,5.7,5.4,5.4,5.2,4.7,4.7,4.2
6,Iceland,3.5,3,3,2.8,2.8,2.9,2.4,2.4,2.4
129,India,31.3,27.1,27.1,25,25,24,21.4,21.4,19.7
111,Indonesia,16.8,16.8,16.8,16.4,16.4,16.5,14.8,14.8,13.9
65,Iran (Islamic Republic of),17.3,16.1,16.1,12.5,12.5,10.6,9,9,9.2
120,Iraq,,20.3,20.3,17.6,17.6,19.3,17.3,17.3,15.9
3,Ireland,4.6,4.3,4.3,3.7,3.7,3.7,2.8,2.8,3.4
22,Israel,4.8,3.9,3.9,3.8,3.8,3.9,3.3,3.3,3.3
29,Italy,4.3,3.9,3.9,3.4,3.4,3,2.9,2.9,3.1
96,Jamaica,16.7,15.3,15.3,15,15,11.9,11,11,10
19,Japan,3.9,3.5,3.5,3.2,3.2,3.2,2.9,2.9,2.9
102,Jordan,13.3,13.1,13.1,11.9,11.9,11.9,10.7,10.7,10.6
50,Kazakhstan,17.2,16.2,16.2,16.7,16.7,11.6,10.1,10.1,7.7
147,Kenya,37.2,34.1,34.1,31.5,31.5,32.1,22.8,22.8,22.5
132,Kiribati,,,,20.6,20.6,26.1,24.5,24.5,24.7
,Korea (Democratic People's Rep. of),,16.9,,15.4,15.4,15.4,11.6,11.6,11.5
22,Korea (Republic of),4.8,4.3,4.3,3.9,3.9,3.7,3.2,3.2,3
57,Kuwait,7.3,6.7,6.7,7.2,7.2,7.2,6.3,6.3,5.9
122,Kyrgyzstan,21.6,19.8,19.8,20,20,13.6,12.1,12.1,11.3
140,Lao People's Democratic Republic,27.6,21.7,21.7,21.5,21.5,26.2,23.1,23.1,22.6
39,Latvia,8.5,7.1,7.1,7.6,7.6,6.7,5.9,5.9,5.4
93,Lebanon,,13.5,13.5,6.7,6.7,7.2,6.7,6.7,7.4
164,Lesotho,36.6,34.3,34.3,33.5,33.5,33.5,28.5,28.5,33.1
176,Liberia,43.3,37.6,37.6,33.1,33.1,33.1,27.5,27.5,29.8
110,Libya,12.1,9.7,9.7,10.1,10.1,15.8,14.1,14.1,9.1
34,Lithuania,8.8,7.2,7.2,6.6,6.6,5.5,5.4,5.4,5.5
21,Luxembourg,4.8,3.5,3.5,3.3,3.3,2.6,3.4,3.4,3.4
162,Madagascar,36.4,25.6,25.6,24.8,24.8,24.8,21.3,21.3,21.1
172,Malawi,40.3,39.9,39.9,40,40,32.7,30.3,30.3,25.1
61,Malaysia,8,6.7,6.7,4.9,4.9,6.7,5.9,5.9,6.1
104,Maldives,15.5,7.3,7.3,8.1,8.1,7.1,5.7,5.7,6
184,Mali,50.1,46.3,46.3,45.6,45.6,40.4,36.8,36.8,36.7
28,Malta,5.6,5.1,5.1,4.8,4.8,4.5,4,4,4.6
161,Mauritania,38.9,36.2,36.2,36.6,36.6,33.7,32.6,32.6,30
66,Mauritius,11.4,9.8,9.8,9.2,9.2,9.8,8.9,8.9,9.4
76,Mexico,12.3,10.9,10.9,10.9,10.9,13.2,12.3,12.3,10.4
135,Micronesia (Federated States of),20.5,19.2,19.2,19.8,19.8,19.8,19,19,16.1
107,Moldova (Republic of),13.1,11.2,11.2,11,11,9,9.6,9.6,9.6
92,Mongolia,22.6,18.8,18.8,16.6,16.6,17.1,13.4,13.4,13.1
52,Montenegro,7.3,6.8,6.8,7.6,7.6,5.2,4.4,4.4,3.6
121,Morocco,18.3,16.7,16.7,16.8,16.8,16,14,14,13
180,Mozambique,45.7,40.8,40.8,40.2,40.2,36.4,35.6,35.6,29.8
145,Myanmar,38.2,25.3,25.3,27.1,27.1,26,24,24,22.8
130,Namibia,24.5,21.1,21.1,21.7,21.7,21.7,20.2,20.2,22.1
147,Nepal,24.3,19.5,19.5,21.1,21.1,19.6,16.6,16.6,17.5
10,Netherlands,4.6,4.3,4.3,3.9,3.9,3.7,3,3,3.1
14,New Zealand,5,5.2,5.2,4.8,4.8,4.6,4.3,4.3,4.3
126,Nicaragua,15.6,13.9,13.9,13.2,13.2,14.6,12.9,12.9,13.1
189,Niger,46.8,42.6,42.6,37.9,37.9,35.3,34.9,34.9,30.9
158,Nigeria,51.1,43.8,43.8,40.8,40.8,40.8,37.4,37.4,37.1
82,North Macedonia,10.4,9.4,9.4,7.6,7.6,7.6,6.5,6.5,7.9
1,Norway,4,3.7,3.7,3.4,3.4,3.3,2.7,2.7,3
47,Oman,,7.2,7.2,7,7,7,7.1,7.1,6.7
152,Pakistan,32.9,32.3,32.3,29.9,29.9,32.8,31,31,29.9
