HDI Rank (2018),Country,2010,2011,2012,2013,2014,2015,2016,2017,2018
170,Afghanistan,0.26,0.314,0.318,0.43,0.434,0.429,0.482,0.486,0.491
69,Albania,0.775,0.778,0.782,0.798,0.801,0.804,0.813,0.815,0.834
82,Algeria,0.694,0.726,0.729,0.713,0.716,0.702,0.735,0.738,0.749
149,Angola,0.252,0.301,0.309,0.315,0.321,0.326,0.406,0.411,0.427
74,Antigua and Barbuda,,,,0.796,0.798,0.796,0.806,0.808,0.824
48,Argentina,0.762,0.77,0.772,0.778,0.78,0.777,0.783,0.785,0.794
81,Armenia,0.695,0.701,0.705,0.726,0.729,0.753,0.765,0.767,0.772
6,Australia,0.908,0.911,0.913,0.921,0.923,0.925,0.934,0.936,0.938
20,Austria,0.891,0.896,0.898,0.904,0.905,0.907,0.914,0.915,0.91
87,Azerbaijan,0.597,0.626,0.629,0.624,0.627,0.63,0.671,0.673,0.7
60,Bahamas,0.724,0.716,0.719,0.733,0.737,0.74,0.749,0.752,0.771
45,Bahrain,0.793,0.811,0.813,0.814,0.816,0.818,0.827,0.828,0.831
135,Bangladesh,0.573,0.594,0.598,0.626,0.63,0.633,0.659,0.662,0.666
56,Barbados,0.827,0.817,0.818,0.829,0.83,0.834,0.843,0.844,0.83
50,Belarus,0.713,0.733,0.742,0.755,0.763,0.777,0.79,0.795,0.803
17,Belgium,0.882,0.886,0.889,0.896,0.899,0.9,0.907,0.909,0.912
103,Belize,0.702,0.71,0.717,0.729,0.733,0.734,0.75,0.752,0.746
163,Benin,0.365,0.364,0.366,0.389,0.391,0.394,0.409,0.412,0.415
134,Bhutan,,0.57,0.575,0.594,0.599,0.615,0.642,0.647,0.657
114,Bolivia (Plurinational State of),0.538,0.559,0.565,0.575,0.58,0.549,0.582,0.586,0.611
75,Bosnia and Herzegovina,0.783,0.782,0.784,0.812,0.814,0.816,0.826,0.827,0.833
94,Botswana,0.458,0.488,0.507,0.54,0.556,0.576,0.603,0.611,0.611
79,Brazil,0.688,0.71,0.714,0.717,0.72,0.724,0.758,0.761,0.763
