HDI Rank (2018),Country,1990,1995,2000,2005,2010,2015,2020
170,Afghanistan,15.8,16,15.5,16,15.9,17.2,18.4
69,Albania,24,24.6,27,29.1,32.2,34.9,36.4
82,Algeria,18,19.4,21.7,24.1,26,27.5,28.5
149,Angola,16.1,16.1,16.3,16.4,16.4,16.4,16.7
74,Antigua and Barbuda,25.2,26.5,28.1,29.5,31.1,32.6,34
48,Argentina,27,27.1,27.6,28.5,29.6,30.5,31.5
81,Armenia,27.2,29.4,30.6,31.8,32.9,33.8,35.4
6,Australia,32.1,33.6,35.4,36.5,36.8,37.2,37.9
20,Austria,36.5,36.3,38.2,40,41.9,43.2,43.5
87,Azerbaijan,24.1,24.6,25.6,27.1,28.7,30.3,32.3
60,Bahamas,23.6,25,27,28.1,29.4,30.9,32.3
45,Bahrain,25.4,26.4,26.6,27.8,30.1,31.2,32.5
135,Bangladesh,18.6,19.6,21,22.5,24,25.7,27.6
56,Barbados,28.4,31.2,33.7,35.5,37.3,39,40.5
50,Belarus,33.1,34.7,36.5,38.1,38.9,39.5,40.3
17,Belgium,36.5,37.6,39,40.3,40.9,41.3,41.9
103,Belize,17.9,18.4,19.2,20.3,21.9,23.7,25.5
163,Benin,17.1,17.2,17.3,17.6,17.9,18.2,18.8
134,Bhutan,18.1,18.4,19.5,21.4,23.3,25.7,28.1
114,Bolivia (Plurinational State of),20,20.5,21.1,21.9,22.9,24.1,25.6
75,Bosnia and Herzegovina,29.8,33.1,35,36.9,38.9,40.7,43.1
94,Botswana,17.2,18.3,19.7,21,22.2,23,24
79,Brazil,22.6,23.9,25.3,27.1,29.2,31.4,33.5
43,Brunei Darussalam,23.1,24,25.5,26.8,27.5,29.9,32.3
52,Bulgaria,36.5,38.2,39.7,41.1,42.3,43.4,44.6
182,Burkina Faso,16.3,16.3,16.4,16.6,16.7,17,17.6
185,Burundi,16.1,14.9,15,16.2,17,17.1,17.3
126,Cabo Verde,16.8,17.1,18,19.8,22.6,25.1,27.6
146,Cambodia,17.9,17.3,18.1,20.4,22.7,23.9,25.6
150,Cameroon,16.7,16.8,17.2,17.6,17.9,18.2,18.7
13,Canada,32.9,34.8,36.8,38.6,39.6,40.4,41.1
188,Central African Republic,18.1,18.2,18.1,18,17.7,17.1,17.6
187,Chad,16.2,15.8,15.5,15.4,15.6,16,16.6
42,Chile,25.7,27,28.7,30.5,32.2,33.8,35.3
85,China,24.9,27.4,30,32.6,35,36.7,38.4
79,Colombia,21.9,22.9,24.1,25.7,27.5,29.5,31.3
156,Comoros,17,17.1,17.7,18.4,19.1,19.7,20.4
138,Congo,17.4,18,18.6,18.9,19.2,18.9,19.2
179,Congo (Democratic Republic of the),17.4,17.2,17.1,17,16.9,16.8,17
68,Costa Rica,23,24.1,25.3,27.2,29.1,31.2,33.5
46,Croatia,35.8,37.9,38.9,40.5,41.7,43.1,44.3
72,Cuba,27.7,30.2,32.8,35.6,38.4,40.8,42.2
31,Cyprus,29.9,31,31.8,32.9,33.9,34.9,37.3
26,Czechia,35.3,36.1,37.5,38.7,39.6,41.4,43.2
165,Côte d'Ivoire,17.5,17.8,18,17.8,17.9,18.3,18.9
11,Denmark,37.1,37.7,38.4,39.6,40.6,41.6,42.3
