HDI Rank (2018),Country,2010,2011,2012,2013,2014,2015,2016,2017,2018
170,Afghanistan,,,,31.4,31.4,31.9,29.6,29.6,
69,Albania,12.7,13.9,13.9,13.4,13.4,13.4,12.3,10,10.9
82,Algeria,,,,,,,,20.7,20.4
149,Angola,39.9,,43.9,44,37,37,32.4,32.4,31.7
48,Argentina,19.8,19.6,19.6,15.8,15,15.6,14.5,14.3,14
81,Armenia,10.9,10.8,11,10.4,10.2,9.3,8.7,10,9.9
6,Australia,7.9,7.9,7.9,7.8,8.2,8.2,8.6,8.2,8.1
20,Austria,7.5,7.4,6.6,7.2,7.7,8.7,7.6,8,7.7
87,Azerbaijan,13.8,11.4,11.4,11.8,13.2,13.2,10.2,10.1,9.4
60,Bahamas,14.4,14.8,,14.3,,,,,
135,Bangladesh,29.4,27.4,27.4,29.1,29.4,28.9,28.1,24.1,24.3
56,Barbados,,,,,,,,16.4,17
50,Belarus,9.3,8.3,8.3,7.6,7.1,6.4,6.5,6.5,6.4
17,Belgium,8.4,7.6,8,8.5,7.9,8.3,8.9,8.8,7.6
103,Belize,28.7,,,,22.7,22.7,22.3,22.3,22.6
163,Benin,35.2,35.8,35.8,34.6,37.4,37.4,36.7,36.6,37.1
134,Bhutan,,,20,20.4,29.8,29.4,28.6,27.2,27.1
114,Bolivia (Plurinational State of),38.1,34.1,34.2,29.6,28.6,29,26.6,25.8,24.2
75,Bosnia and Herzegovina,20.4,11.6,11.5,10.6,13.3,13.3,13.1,15.6,14.4
94,Botswana,,,,38.2,38.2,38,37.4,,
79,Brazil,27.1,27.8,27.2,27.1,26.3,25.6,24.4,23.9,24.5
52,Bulgaria,11.3,11.4,9.9,11,10.6,10.7,12,12.7,12.5
182,Burkina Faso,36.2,35.1,34.2,35,35,33.6,30.8,32.1,30
185,Burundi,37,,,33.9,32.6,31.6,30.5,33.3,30.1
126,Cabo Verde,,,,19.7,19.7,20.1,21.6,,
146,Cambodia,28.8,27.2,25.9,24.7,24.7,22.5,19.4,19.4,20.1
150,Cameroon,34,33.4,33.4,32.8,32.8,32.8,30.7,34.2,34.1
13,Canada,8.6,8.6,8.6,7.6,8.9,8.9,8.2,8,8.8
188,Central African Republic,42,40.6,40.6,40.4,43.5,43.5,42.1,42.1,41.6
187,Chad,39.3,40.1,40.1,37.8,39.9,40,38.3,38.3,37.7
42,Chile,19,19,19,19.6,19.3,18.2,16.6,15.7,20.5
85,China,23,22.3,22.3,,,,,14.5,16.1
79,Colombia,28.6,32.5,27.8,26.7,24.7,24.6,23.4,23.6,23.1
156,Comoros,43.9,,,,46.7,45.8,45.3,45.3,45.3
138,Congo,31.8,31.1,31.1,30.7,26.6,24.7,22.6,22.6,25
179,Congo (Democratic Republic of the),36.2,39.9,39.9,37.6,36.2,31.9,30.8,30.3,31
68,Costa Rica,20.6,20.5,21.6,19.9,19.9,19.1,18.7,18,19.5
46,Croatia,15.3,15.1,15.1,11.2,9.1,9.1,9.1,9,8.3
31,Cyprus,11.7,10.1,11.5,11,10.7,10.9,13.4,11.5,9.7
26,Czechia,6,5,5.4,5.6,5.5,5.4,5.5,5.3,4.6
165,Côte d'Ivoire,36.1,38.6,38.6,38.3,38,37.8,36,36.9,35.7
11,Denmark,6.4,6,6.2,6.9,7.3,7.2,7.8,7.5,6.1
171,Djibouti,37.3,35.9,36,34.6,34.6,34.6,34,35.8,
89,Dominican Republic,24.8,25.9,27.3,23.6,23.6,21.8,22.2,21.1,21.5
85,Ecuador,20.2,25.7,25.7,22.8,22.1,20.5,20.5,19.8,19.9
116,Egypt,27.5,24.1,24.1,24,24,29,29.2,29.2,29.7
124,El Salvador,27.6,26.6,26.6,26.7,26.7,22.2,22.7,22.3,21.9
30,Estonia,9.8,7.9,9,8.7,9.1,8.9,9.8,8.8,7.3
138,Eswatini (Kingdom of),35.7,35.4,35.4,33.3,33.3,33.3,29.7,29.7,29.3
173,Ethiopia,34.3,31.9,31.9,29.4,29.4,26.3,24.5,28.4,28.4
98,Fiji,,,,15.3,15.3,15.3,,,
12,Finland,7.5,5.6,5.9,5.5,5.5,5.8,8.8,5.6,5.3
26,France,9.2,9.2,9,9,8.7,9.4,12.6,10.3,9.2
115,Gabon,21.1,19.5,19.5,24,24,23.9,22.3,22.3,22.5
174,Gambia,39,,,,,,37.1,37.1,37.2
70,Georgia,17,14.1,15.3,14.5,13.6,12.7,12,12.6,12
4,Germany,8,6.9,6.9,7.1,6.9,7.2,8.6,8.1,8.3
142,Ghana,25.3,32.2,32.2,31.3,33.1,32.5,28.9,28.9,28.3
32,Greece,10.2,12.2,11.6,10.6,12.3,12.4,13.2,13.5,12.2
126,Guatemala,33.6,31.6,33.1,32.8,29.4,29.6,28.9,28.2,27.4
174,Guinea,38.4,38.8,38.8,38,36.5,34.8,33.4,33.4,33.4
178,Guinea-Bissau,42.4,41.4,41.4,39.6,39.6,39.4,39.4,39.4,37.5
123,Guyana,18.6,22.3,19.1,18.2,18.2,18.7,18.7,18.6,18.5
169,Haiti,40.8,40.2,40.2,39.5,38.8,39.6,39,39,40.5
132,Honduras,30.6,31.7,27.5,32.3,32,29.2,26.2,25.6,25.5
4,"Hong Kong, China (SAR)",,,,,,,,13.3,13.1
43,Hungary,8.6,7,7.4,7.4,7.2,7.8,7.9,7.9,8
6,Iceland,6.6,5.9,6.4,5.7,5.9,5.8,6.1,6.1,5.7
129,India,29.7,28.3,29.3,28.6,28.6,27.2,27.8,26.9,16.9
111,Indonesia,17.7,18.3,18.3,19.2,18.2,18.2,17.7,18.9,17.5
65,Iran (Islamic Republic of),,,,33.6,33.6,33.1,,11.4,11.5
120,Iraq,,,,21.4,21.7,22.3,21.3,20.4,19.8
3,Ireland,9.2,7.2,7.2,7.5,8.6,7.9,9,9,7.5
